year,state_district,party,candidate,vote_pct
1976,New Jersey13,democrat,Helen S. Meyner,0.5036617858800005
1976,New Jersey14,democrat,Joseph A. Le Fante,0.49856917039136595
1976,New Jersey15,democrat,Edward J. Patten,0.5903712271180409
1976,New Mexico1,republican,"Manuel Lujan, Jr.",0.7208596029191384
1976,New Mexico2,democrat,Harold Runnels,0.7032852573223901
1976,New York1,democrat,Otis G. Pike,0.6255374322787128
1976,New York2,democrat,Thomas J. Downey,0.563920401245763
1976,New York3,democrat,"Jerome A. Ambro, Jr.",0.5195410027612586
1976,New York4,republican,Norman F. Lent,0.48047403291076624
1976,New York5,republican,John W. Wydler,0.4960652562123551
1976,New York6,democrat,Lester L. Wolf,0.5736505685721667
1976,New York7,democrat,Joseph P. Addabbo,0.724220052393427
1976,New York8,democrat,Benjamin S. Rosenthal,0.7177809532790275
1976,New York9,democrat,James J. Delaney,0.4637180433178523
1976,New York10,democrat,Mario Biaggi,0.5951863541504976
1976,New York11,democrat,James H. Scheuer,0.7406210138216638
1976,New York12,democrat,Shirley Chisholm,0.8320639909735654
1976,New York13,democrat,Stephen J. Solarz,0.7764248547918683
1976,New York14,democrat,Frederick W. Richmond,0.791785458370813
1976,New York15,democrat,Leo C. Zeferetti,0.5420734881766786
1976,New York16,democrat,Elizabeth Holtzman,0.7670034738753989
1976,New York17,democrat,John M. Murphy,0.6557480778427693
1976,New York18,democrat,Edward I. Koch,0.66130154863407
1976,New York19,democrat,Charles B. Rangel,0.8239646066404885
1976,New York20,democrat,Theodore S. Weiss,0.7466829577337316
1976,New York21,democrat,Herman Badillo,0.8878065086073108
1976,New York22,democrat,Jonathan B. Bingham,0.8103891474031822
1976,New York23,republican,Bruce F. Caputo,0.45321455342212996
1976,New York24,democrat,Richard L. Ottinger,0.5451063318252355
1976,New York25,republican,"Hamilton Fish, Jr.",0.6222413400470636
1976,New York26,republican,Benjamin A. Gilman,0.6525075958930542
1976,New York27,democrat,Matthew F. McHugh,0.6385925716143784
1976,New York28,democrat,Samuel S. Stratton,0.7902603619598256
1976,New York29,republican,Joseph A. Martino,0.4503552389577168
1976,New York30,republican,Robert C. McEwen,0.5217794362009154
1976,New York31,republican,Donald J. Mitchell,0.6235398946942082
1976,New York32,democrat,James M. Hanley,0.5477962622879983
1976,New York33,republican,William F. Walsh,0.6848677190774535
1976,New York34,republican,Frank J. Horton,0.6585256717101292
1976,New York35,republican,"Barber B. Conable, Jr.",0.6425139025623288
1976,New York36,democrat,John J. LaFalce,0.6421569422591337
1976,New York37,democrat,Henry J. Nowak,0.7471922845464279
1976,New York38,republican,Jack F. Kemp,0.7151111509417053
1976,New York39,democrat,Stanley N. Lundine,0.617884991348509
1976,North Carolina1,democrat,Walter B. Jones,0.7588029794699744
1976,North Carolina2,democrat,L. H. Fountain,1.0
1976,North Carolina3,democrat,Charles Whitley,0.6874922071213552
1976,North Carolina4,democrat,Ike Andrews,0.6060217514235742
1976,North Carolina5,democrat,Stephen L. (Steve) Neal,0.542308030126699
1976,North Carolina6,democrat,Richardson Preyer,0.9632690541781451
1976,North Carolina7,democrat,Charles G. Rose,0.8130184469161458
1976,North Carolina8,democrat,W. G. (Bill) Hefner,0.657236846459846
1976,North Carolina9,republican,James G. Martin,0.5351327801909121
1976,North Carolina10,republican,James T. (Jim) Broyhill,0.597838057843325
1976,North Carolina11,democrat,Lamar Gudger,0.5089720994550039
1976,North Dakota0,republican,Mark Andrews,0.6244562423891183
1976,Ohio1,republican,"Willis D. Gradison, Jr.",0.6476615776681847
1976,Ohio2,democrat,Thomas A. Luken,0.5137470358955237
1976,Ohio3,republican,"Charles W. Whalen, Jr.",0.6938723568175877
1976,Ohio4,republican,Tennyson Guyer,0.7005961019212867
1976,Ohio5,republican,Delbert L. Latta,0.6744090619499605
1976,Ohio6,republican,William H. Harsha,0.6148474424427586
1976,Ohio7,republican,Clarence J. Brown,0.6485152328253585
1976,Ohio8,republican,Thomas N. Kindness,0.6865211921391696
1976,Ohio9,democrat,"Thomas Ludlow, Ashley",0.5420047746905678
1976,Ohio10,republican,Clarence E. Miller,0.6876379094016355
1976,Ohio11,republican,J. William Stanton,0.7174202443778823
1976,Ohio12,republican,Samuel L. Devine,0.4645986519607843
1976,Ohio13,democrat,Donald J. Pease,0.6601846251596073
1976,Ohio14,democrat,John F. Seiberling,0.7409311277316247
1976,Ohio15,republican,Chalmers P. Wylie,0.6550119196276535
1976,Ohio16,republican,Ralph S. Regula,0.6684664916624065
1976,Ohio17,republican,John M. Ashbrook,0.56796494294848
1976,Ohio18,democrat,Douglas Applegate,0.6290614204074604
1976,Ohio19,democrat,Charles J. Carney,0.5024375330053642
1976,Ohio20,democrat,Mary Rose Oakar,0.8098724339214272
1976,Ohio21,democrat,Louis Stokes,0.8383321474832612
1976,Ohio22,democrat,Charles A. Vanik,0.7273246832613751
1976,Ohio23,democrat,Ronald M. Mottl,0.732010315057742
1976,Oklahoma1,democrat,James R. Jones,0.5396858493188769
1976,Oklahoma2,democrat,Theodore M. (Ted) Risenhoover,0.5396878936245343
1976,Oklahoma3,democrat,Wes Watkins,0.8196082680898329
1976,Oklahoma4,democrat,Tom Steed,0.7494029879567705
1976,Oklahoma5,republican,Mickey Edwards,0.49853578763215944
1976,Oklahoma6,democrat,Glenn English,0.710763966068927
1976,Oregon1,democrat,Les AuCoin,0.5865303030303031
1976,Oregon2,democrat,Al Ullman,0.7198549598979901
1976,Oregon3,democrat,Robert B. Duncan,0.8387583238727824
1976,Oregon4,democrat,James Weaver,0.5002001208893536
1976,Pennsylvania1,democrat,Michael O. Myers,0.7354480072862033
1976,Pennsylvania2,democrat,Robert N. C. Nix,0.7354605038528744
1976,Pennsylvania3,democrat,Raymond F. Lederer,0.7315566170689374
1976,Pennsylvania4,democrat,Joshua Eilberg,0.6751945570623049
1976,Pennsylvania5,republican,Richard T. Schulze,0.5954891258377658
1976,Pennsylvania6,democrat,Gus Yatron,0.7382623012408976
1976,Pennsylvania7,democrat,Robert W. Edgar,0.5408226299845318
1976,Pennsylvania8,democrat,Peter H. Kostmayer,0.49495578068061363
1976,Pennsylvania9,democrat,Bud Shuster,1.0
1976,Pennsylvania10,republican,Joseph M. McDade,0.6256426654941717
1976,Pennsylvania11,democrat,Daniel J. Flood,0.7082580687283727
1976,Pennsylvania12,democrat,John P. Murtha,0.6768438558397286
1976,Pennsylvania13,republican,Lawrence Coughlin,0.6340593771223441
1976,Pennsylvania14,democrat,William S. Moorhead,0.7170454260730125
1976,Pennsylvania15,democrat,Fred B. Rooney,0.6521900653124812
1976,Pennsylvania16,republican,Robert S. Walker,0.6233549582947173
1976,Pennsylvania17,democrat,Allen E. Ertel,0.5072175387368718
1976,Pennsylvania18,democrat,Douglas Walgren,0.5945574534567172
1976,Pennsylvania19,republican,William F. Goodling,0.7059686888454012
1976,Pennsylvania20,democrat,Joseph M. Gaydos,0.7495543028519064
1976,Pennsylvania21,democrat,John H. Dent,0.5940463567033902
1976,Pennsylvania22,democrat,Austin J. Murphy,0.5531764491266475
1976,Pennsylvania23,democrat,Joseph S. Ammerman,0.5654424000660915
1976,Pennsylvania24,republican,Marc L. Marks,0.5536088009379486
1976,Pennsylvania25,republican,Gary A. Myers,0.567880803774474
1976,Rhode Island1,democrat,Fernand J. St Germain,0.6239184607651255
1976,Rhode Island2,democrat,Edward P. Beard,0.7649520583224375
1976,South Carolina1,democrat,Mendel J. Davis,0.6888040887948936
1976,South Carolina2,republican,Floyd D. Spence,0.5753715645367081
1976,South Carolina3,democrat,Butler C. Derrick,0.999024224682873
1976,South Carolina4,democrat,James R. Mann,0.7351500821544503
1976,South Carolina5,democrat,Kenneth L. Holland,0.5141467590070812
1976,South Carolina6,democrat,"John W. Jenrette, Jr.",0.554552360916316
1976,South Dakota1,republican,Larry Pressler,0.7978044907547145
1976,South Dakota2,republican,James Abdnor,0.6986161086912303
