Total population,Male,Female,White alone,Black or African American alone,American Indian & Alaska Native alone,Asian alone,Native Hawaiian & Other Pacific Islander alone,Some other race alone, Two or more races,Hispanic or Latino (any race),Median household income,Per capita income,Median housing value,Gini index of income inequality,Median gross rent,Median age,Median income,Income in the past 12 months below poverty level,Income in the past 12 months at or above poverty level:,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Total enrolled in school,Total not enrolled in school,Total enrolled in public school,Total enrolled in private school,Males for population,"Males 12th grade, no diploma",Males Highschool diploma,Males Bachelor's degree,Females for population,"Females 12th grade, no diploma",Females Highschool diploma,Females Bachelor's degree,Total pop over 5,Speak only English,Males for population poverty,Males unemployed,Aggregate income deficit in the past 12 months,Aggregate household income in the past 12 months (in 2016 inflation-adjusted dollars),Household population,"$200,000 or more","Less than $10,000",Population for veterans,Veteran,Population for employment,"Agriculture, forestry, fishing and hunting, and mining","Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services",NAME,state,congressional district,year
833546,417487,416059,527663,80907,7518,52391,3847,119419,41801,315713,57862,22703,223100,0.431,1140,32.8,25009,62928,457781,229153,271536,526386,241722,29814,245134,7595,59347,32991,251279,6164,60427,37611,,,605861,9493,226854000,18240719500,176594,8157,8334,585723,51407,326829,2747,17955,30233,"Congressional District 25 (111th Congress), California",06,25,2010
702191,342298,359893,425973,34545,4117,133660,411,70167,33318,210011,75086,32284,466000,0.441,1271,37.8,31809,32210,385417,163994,209792,469953,167315,42477,219657,4162,42401,49282,244728,4297,50335,53328,661129,400177,542488,3815,104165500,21956096100,151636,13006,5644,530853,35145,323007,941,25953,38010,"Congressional District 26 (111th Congress), California",06,26,2010
694684,337192,357492,432141,32848,1648,91132,1719,111041,24155,286289,56836,25820,411800,0.447,1192,36.5,25976,61443,365620,146761,189314,478718,161752,27562,222842,8292,46821,46608,246294,5293,52685,52238,651624,279692,550961,8116,160386600,17255151200,159003,8436,10288,538724,23180,327007,1584,28403,43000,"Congressional District 27 (111th Congress), California",06,27,2010
661126,330623,330503,398571,25980,2857,46714,928,164743,21333,378717,50607,25981,394000,0.514,1183,32.7,21959,60530,335177,159260,185927,446049,159705,26222,208050,7533,40437,40874,213086,6393,41788,38372,611219,202991,511436,6319,171056500,16576391900,141105,11522,7068,493479,14458,308765,2345,18283,41833,"Congressional District 28 (111th Congress), California",06,28,2010
639084,312257,326827,365298,28072,1196,180161,858,45976,17523,168100,57700,28409,575000,0.464,1261,39.2,25834,45406,315949,122689,167136,451565,133557,33579,218568,7760,39730,53045,239687,5829,43088,60839,605268,223276,523062,6195,104186100,17471799200,137733,10311,7108,512087,19657,305215,1781,22517,40619,"Congressional District 29 (111th Congress), California",06,29,2010
650843,318646,332197,511548,20854,1369,66283,1037,19251,30501,66603,75700,57321,825400,0.555,1523,40.3,41493,48715,454741,105383,161789,472546,108470,53319,231159,2523,26242,79398,248521,3091,31055,90364,622544,424713,542159,5127,66250600,36653873000,241696,41814,13640,542853,28791,327812,401,36559,68141,"Congressional District 30 (111th Congress), California",06,30,2010
617286,319227,298059,236308,22118,3123,89498,341,249444,16454,430243,35194,16429,404700,0.457,937,32.8,16766,58178,174339,140951,168168,425023,148602,19566,202508,5555,42637,29601,194518,6628,36814,25979,,,478615,7968,281817200,9550976300,81946,2211,6322,467596,10348,283113,1805,13105,30111,"Congressional District 31 (111th Congress), California",06,31,2010
640186,307893,332293,260797,14362,3296,145823,822,199262,15824,406659,49529,17819,354700,0.411,1113,34.5,20408,36251,217862,156475,189164,425678,165597,23567,187683,8057,47865,22159,214976,7796,54691,24841,,,487480,4589,146322700,10657969000,73861,1229,3012,475959,18238,263865,1808,12833,26560,"Congressional District 32 (111th Congress), California",06,32,2010
647747,309542,338205,223063,161068,2034,91464,964,144562,24592,243548,41538,24690,488000,0.511,1107,34.7,21575,41634,173815,127734,174294,451632,133653,40641,203288,6662,38990,47919,231361,6571,41326,51379,608526,297565,515319,7639,210356200,15315063200,90860,7215,8028,511000,20400,303673,1304,17499,41753,"Congressional District 33 (111th Congress), California",06,33,2010
644666,324595,320071,330613,32761,2942,40248,1645,224131,12326,513298,36270,14918,351700,0.457,957,31.3,17379,85823,237687,171069,191761,424729,177656,14105,192758,9058,45039,16444,193565,5871,44403,17453,,,475826,7743,276823100,8894162000,87940,1440,7208,464374,11461,258423,2610,11421,25321,"Congressional District 34 (111th Congress), California",06,34,2010
652604,314843,337761,249149,186064,2247,39731,3265,150134,22014,355099,41271,18780,344700,0.479,1021,31.4,21239,53414,192710,170017,191995,428272,169309,22686,185228,7045,45117,20666,209052,7107,46016,27854,,,484768,7765,300091500,11683069900,69077,2857,4361,469621,20693,269072,1651,11905,30486,"Congressional District 35 (111th Congress), California",06,35,2010
658353,329376,328977,422869,25082,3072,104276,2065,62811,38178,217718,65717,36016,634000,0.470,1355,36.5,31917,48170,372291,142844,170144,462518,141757,28387,223701,5415,36396,62675,228485,5404,36018,62744,615359,362910,520562,5362,145836700,23117589800,176795,17553,7869,508897,31257,331722,1783,25569,51082,"Congressional District 36 (111th Congress), California",06,36,2010
645662,319672,325990,300344,136878,3589,78119,6578,78193,41961,317882,46950,19293,325900,0.440,1016,31.8,20944,68487,228847,166747,203741,413614,185094,18647,188150,6338,46055,23497,199945,6576,39373,29062,,,489154,7247,198889400,11835919300,90569,1941,5272,468249,25078,276556,1947,13834,29266,"Congressional District 37 (111th Congress), California",06,37,2010
655139,320545,334594,351946,21956,4708,78174,294,178503,19558,495070,51381,16783,324700,0.402,1103,32.0,20957,61077,285689,173599,202259,426759,187503,14756,186936,9416,47014,21284,208430,7284,54918,21905,,,488020,5952,159129600,10379379200,93445,1156,4916,470546,16931,266459,1350,13272,24471,"Congressional District 38 (111th Congress), California",06,38,2010
642760,316982,325778,278311,32847,2963,68445,1592,238449,20153,429330,53439,19208,370900,0.416,1105,32.7,22181,40146,232520,167190,193460,421581,174618,18842,189519,6994,47099,21484,204117,6047,51843,23824,,,483375,6148,188619400,11734259800,82323,1525,4066,466757,21384,264631,1684,13071,25882,"Congressional District 39 (111th Congress), California",06,39,2010
669897,331816,338081,382532,14247,2650,145329,4200,100068,20871,237188,65243,26800,472600,0.429,1323,36.0,26942,38138,335482,155612,195715,449444,169634,26081,210137,6112,41387,44905,224819,5349,48806,49761,630106,338431,516949,4643,125550500,17343785500,133710,8367,4753,503912,31057,305489,1350,21633,33487,"Congressional District 40 (111th Congress), California",06,40,2010
801137,392155,408982,580614,47803,10767,42147,1719,86656,31431,277788,49506,22299,183000,0.435,979,35.1,24042,84001,482487,199432,218415,548483,190617,27798,238324,8288,65587,27627,263503,7697,72440,32210,,,599077,6714,190408200,16971210700,208272,6000,13769,578277,60568,300849,2670,13043,25248,"Congressional District 41 (111th Congress), California",06,41,2010
681474,336579,344895,425490,14672,2173,137091,1928,76109,24011,210533,83029,32605,514400,0.409,1448,37.7,34795,22399,396482,162615,207994,450971,174203,33791,214367,4353,39241,58085,230276,4627,45166,58127,641299,385544,526086,2499,76564600,21668149800,146056,15552,3908,512042,29370,317176,719,27234,36001,"Congressional District 42 (111th Congress), California",06,42,2010
741833,375170,366663,432538,81767,7543,27960,1314,159045,31666,511309,46728,15151,194300,0.410,1003,29.1,19659,97438,329787,221716,236314,468749,218948,17366,208392,9628,59954,13944,208440,9270,55353,18344,,,530702,9860,304155500,10554174900,108470,1459,6458,503718,22435,278031,2793,12418,23886,"Congressional District 43 (111th Congress), California",06,43,2010
853323,429195,424128,585850,44407,8181,64560,4910,111146,34269,372087,67381,26164,321600,0.444,1215,32.9,26191,65618,512747,227603,272447,544623,233767,38680,256330,8761,52196,44099,260417,5628,56566,45065,,,633031,6746,187690100,21440061900,179216,11278,7585,615258,44475,357551,2188,24577,35541,"Congressional District 44 (111th Congress), California",06,44,2010
907715,451134,456581,628616,63319,5771,41905,990,126954,40160,420640,49508,22623,216300,0.460,1090,34.9,22420,91341,530500,246697,261685,607922,234569,27116,276222,9701,69470,38693,289587,9092,76752,35457,,,671133,10755,275989800,19804735600,222239,8235,10490,649162,62041,336118,10340,18838,33327,"Congressional District 45 (111th Congress), California",06,45,2010
646672,318045,328627,425121,11375,3129,128953,403,55057,22634,132834,71332,36657,620000,0.458,1404,40.7,32320,31076,388268,127078,168353,461471,141847,26506,222586,5306,35188,57959,235560,5572,39367,55355,615231,405552,525699,3529,98285000,23104654200,179704,16287,8629,514635,40081,313897,1179,28654,40165,"Congressional District 46 (111th Congress), California",06,46,2010
634506,321005,313501,264542,11014,3121,110464,2751,231309,11305,427530,51647,15999,343200,0.399,1216,30.0,20370,52794,205346,168616,191643,409934,178776,12867,185504,7071,41421,22540,185528,8084,40757,22928,,,468674,7700,213558900,9536148400,71299,1097,2671,450927,13146,275265,2021,16096,30176,"Congressional District 47 (111th Congress), California",06,47,2010
725898,352777,373121,510077,12448,2203,135587,1554,39012,25017,127034,82047,43611,626100,0.472,1654,38.1,40736,38969,465741,153864,210261,492420,175295,34966,236173,3272,28191,78410,259675,3360,36336,88136,684123,451478,576007,3153,111581300,31061115500,210607,28808,9346,567296,34623,358509,1158,42036,63347,"Congressional District 48 (111th Congress), California",06,48,2010
